expense_name,category,cost_in_rs,frequency,ground_truth_type,decision_time_sec,user_decision,correct
Electricity Bill,Travel,12004,one-time,want,3.23,want,1
Concert Ticket,Travel,4297,weekly,want,3.43,want,1
Snacks,Travel,8350,daily,want,2.6,need,0
School Fees,Medical,1518,monthly,need,2.43,need,1
Gym Membership,Medical,2078,daily,need,0.88,want,0
Internet Plan,Food,2269,daily,need,2.33,need,1
School Fees,Housing,7094,weekly,need,2.4,need,1
Hotel Stay,Food,1779,monthly,need,2.26,need,1
Rent,Food,1779,weekly,need,1.02,need,1
Online Course,Education,12598,monthly,need,1.28,need,1
Fast Food,Food,1884,monthly,need,2.03,need,1
Doctor Visit,Housing,8491,daily,need,0.68,need,1
Fast Food,Utilities,1921,weekly,need,1.02,need,1
Dining Out,Education,9933,one-time,need,3.45,need,1
Water Bill,Utilities,3664,monthly,need,2.84,need,1
Coffee,Entertainment,2270,weekly,want,0.93,want,1
Gym Membership,Shopping,5792,weekly,want,1.77,want,1
Bus Pass,Utilities,3949,one-time,need,1.29,want,0
Bus Pass,Food,554,one-time,need,3.22,need,1
Health Insurance,Lifestyle,786,daily,want,2.91,want,1
Health Insurance,Food,585,weekly,need,1.48,need,1
Medicines,Entertainment,935,monthly,want,3.49,want,1
Gift Purchase,Housing,10231,monthly,need,1.99,need,1
Bus Pass,Education,5647,weekly,need,1.41,want,0
Health Insurance,Housing,13958,daily,need,3.12,need,1
Gym Membership,Shopping,6774,daily,want,1.64,want,1
Travel Tickets,Entertainment,2400,monthly,want,1.78,want,1
Concert Ticket,Education,8669,daily,need,1.96,want,0
Emergency Meds,Entertainment,2950,weekly,want,2.43,want,1
New Sneakers,Medical,832,monthly,need,1.93,need,1
Coffee,Housing,12950,monthly,need,2.34,need,1
Water Bill,Utilities,1888,one-time,need,2.23,need,1
Internet Plan,Housing,13796,monthly,need,2.8,need,1
Phone EMI,Entertainment,1196,weekly,want,1.55,want,1
Medicines,Entertainment,621,monthly,want,2.93,want,1
Hotel Stay,Lifestyle,1513,monthly,want,2.3,need,0
Coffee,Entertainment,1490,daily,want,1.58,want,1
Petrol,Travel,9581,weekly,want,1.49,want,1
Taxi Ride,Shopping,5692,one-time,want,3.4,want,1
School Fees,Shopping,4599,one-time,want,1.53,want,1
Emergency Meds,Medical,1122,monthly,need,1.6,want,0
Laptop EMI,Housing,15391,weekly,need,3.45,need,1
Electricity Bill,Shopping,3544,daily,want,1.57,want,1
Gift Purchase,Medical,4099,weekly,need,2.84,need,1
Doctor Visit,Medical,3817,one-time,need,3.39,want,0
Gift Purchase,Utilities,1677,daily,need,3.13,need,1
School Fees,Utilities,2865,monthly,need,1.03,need,1
Laptop EMI,Medical,706,daily,need,2.8,need,1
Medicines,Travel,14326,weekly,want,2.42,want,1
Taxi Ride,Education,11126,daily,need,2.6,want,0
Electricity Bill,Entertainment,2514,one-time,want,1.93,want,1
Gadgets,Lifestyle,655,weekly,want,2.86,want,1
Electricity Bill,Medical,3543,weekly,need,2.09,need,1
Hotel Stay,Lifestyle,2600,monthly,want,1.46,want,1
Gift Purchase,Education,1301,one-time,need,2.14,need,1
Gift Purchase,Lifestyle,2839,daily,want,0.97,want,1
Gadgets,Education,15883,weekly,need,2.27,want,0
Emergency Meds,Travel,365,weekly,want,2.29,want,1
Mobile Recharge,Lifestyle,1023,one-time,want,1.05,want,1
Doctor Visit,Shopping,6517,one-time,want,1.9,want,1
Snacks,Entertainment,1351,one-time,want,0.71,need,0
Concert Ticket,Shopping,5578,monthly,want,2.18,need,0
Taxi Ride,Entertainment,1892,daily,want,2.61,want,1
Laptop EMI,Education,1080,one-time,need,3.33,need,1
Water Bill,Entertainment,2103,monthly,want,3.5,want,1
Petrol,Housing,12324,weekly,need,0.61,need,1
Clothes Shopping,Medical,421,one-time,need,1.86,need,1
New Sneakers,Food,2055,weekly,need,2.26,need,1
Phone EMI,Travel,4028,daily,want,0.63,want,1
School Fees,Entertainment,1299,one-time,want,1.48,want,1
Online Course,Food,1524,weekly,need,0.98,need,1
Health Insurance,Medical,4037,daily,need,2.95,need,1
Hotel Stay,Housing,12064,one-time,need,0.73,want,0
Petrol,Utilities,2440,daily,need,3.34,want,0
Emergency Meds,Travel,11090,weekly,want,2.58,want,1
Salon Visit,Medical,3952,one-time,need,3.29,need,1
Water Bill,Entertainment,634,monthly,want,1.91,need,0
School Fees,Utilities,3278,one-time,need,2.44,need,1
Party Expenses,Housing,12435,daily,need,2.68,need,1
Emergency Meds,Education,5230,one-time,need,2.52,need,1
Fast Food,Housing,19023,monthly,need,1.28,want,0
School Fees,Travel,14741,daily,want,2.34,want,1
Concert Ticket,Shopping,906,monthly,want,1.76,want,1
Petrol,Entertainment,2541,daily,want,2.3,want,1
Internet Plan,Food,719,one-time,need,2.97,need,1
Coffee,Education,9929,one-time,need,2.67,need,1
Party Expenses,Travel,8273,daily,want,0.79,want,1
Electricity Bill,Food,2458,daily,need,2.45,need,1
Groceries,Housing,9981,one-time,need,1.5,need,1
Movie Night,Housing,19187,weekly,need,2.86,need,1
Health Insurance,Medical,3299,one-time,need,1.67,need,1
Concert Ticket,Medical,4175,monthly,need,1.05,need,1
Gym Membership,Shopping,6329,monthly,want,3.33,want,1
Streaming Subscription,Education,12181,one-time,need,2.49,want,0
Emergency Meds,Food,1925,daily,need,3.19,need,1
Medicines,Housing,10287,monthly,need,1.67,need,1
Gadgets,Shopping,1205,weekly,want,2.35,need,0
Phone EMI,Food,1315,one-time,need,1.46,need,1
Health Insurance,Food,923,monthly,need,3.22,need,1
Rent,Lifestyle,1852,monthly,want,1.8,want,1
Dining Out,Food,2001,one-time,need,2.07,need,1
Water Bill,Lifestyle,1997,one-time,want,0.52,want,1
School Fees,Lifestyle,2331,daily,want,0.59,want,1
Groceries,Medical,1160,weekly,need,2.58,need,1
Gadgets,Travel,1702,weekly,want,1.84,want,1
Salon Visit,Lifestyle,2605,weekly,want,3.3,want,1
Travel Tickets,Medical,1132,weekly,need,2.84,need,1
Dining Out,Food,759,weekly,need,0.67,need,1
Clothes Shopping,Food,1891,one-time,need,0.51,want,0
Party Expenses,Housing,13981,monthly,need,1.35,need,1
Water Bill,Lifestyle,1780,weekly,want,3.39,want,1
Taxi Ride,Shopping,865,one-time,want,2.49,want,1
Bus Pass,Housing,17717,monthly,need,3.1,need,1
Rent,Shopping,5311,monthly,want,2.64,want,1
New Sneakers,Lifestyle,622,daily,want,2.74,want,1
Party Expenses,Education,11272,daily,need,2.42,want,0
Doctor Visit,Utilities,963,monthly,need,1.55,need,1
Health Insurance,Travel,13363,daily,want,3.31,want,1
Health Insurance,Utilities,2488,weekly,need,3.34,need,1
Hotel Stay,Shopping,1551,one-time,want,1.01,want,1
Concert Ticket,Education,15525,daily,need,1.65,need,1
Electricity Bill,Travel,12900,daily,want,1.53,need,0
Dining Out,Lifestyle,2231,monthly,want,1.77,want,1
Gift Purchase,Utilities,3512,daily,need,1.37,need,1
Water Bill,Entertainment,1213,one-time,want,0.62,need,0
Concert Ticket,Education,5726,monthly,need,2.37,need,1
Movie Night,Shopping,2367,one-time,want,2.92,want,1
Emergency Meds,Travel,220,one-time,want,3.18,want,1
Insurance Premium,Entertainment,766,monthly,want,2.19,need,0
Laptop EMI,Medical,774,monthly,need,2.26,need,1
Travel Tickets,Education,11931,daily,need,1.62,need,1
Groceries,Education,18042,weekly,need,2.09,need,1
Insurance Premium,Entertainment,221,weekly,want,0.67,want,1
Insurance Premium,Shopping,4592,daily,want,3.03,want,1
Emergency Meds,Travel,12953,daily,want,2.19,want,1
Snacks,Medical,2876,weekly,need,0.56,need,1
Bus Pass,Food,2197,one-time,need,2.25,need,1
Fast Food,Entertainment,1230,monthly,want,3.3,want,1
Dining Out,Housing,13937,weekly,need,0.51,need,1
Dining Out,Entertainment,1697,monthly,want,2.56,want,1
Snacks,Utilities,1680,weekly,need,2.11,need,1
Travel Tickets,Entertainment,375,monthly,want,1.29,want,1
Bus Pass,Travel,3952,daily,want,2.48,want,1
Fast Food,Shopping,6688,weekly,want,1.23,want,1
Gym Membership,Travel,13858,one-time,want,3.46,want,1
Laptop EMI,Lifestyle,1765,weekly,want,0.72,want,1
Party Expenses,Travel,212,daily,want,2.32,want,1
Dining Out,Lifestyle,2999,one-time,want,3.46,need,0
Electricity Bill,Lifestyle,1118,one-time,want,3.03,want,1
Travel Tickets,Medical,1708,daily,need,1.45,need,1
Water Bill,Shopping,743,one-time,want,1.9,want,1
Groceries,Entertainment,1829,daily,want,2.38,want,1
Streaming Subscription,Education,9108,daily,need,1.59,need,1
Groceries,Food,740,one-time,need,1.23,need,1
Water Bill,Education,11162,weekly,need,1.35,need,1
Water Bill,Housing,5173,daily,need,2.66,need,1
Gym Membership,Utilities,3801,monthly,need,1.85,need,1
Petrol,Lifestyle,2235,monthly,want,2.33,want,1
Travel Tickets,Housing,8045,weekly,need,3.47,need,1
Insurance Premium,Travel,1606,monthly,want,2.21,want,1
Gadgets,Shopping,3878,daily,want,1.69,need,0
Streaming Subscription,Travel,546,weekly,want,1.82,want,1
Internet Plan,Utilities,2048,one-time,need,3.3,need,1
Phone EMI,Entertainment,2981,one-time,want,0.69,want,1
Mobile Recharge,Education,18141,weekly,need,2.8,need,1
School Fees,Housing,12131,weekly,need,2.95,need,1
Snacks,Lifestyle,1553,one-time,want,0.5,want,1
Laptop EMI,Entertainment,592,weekly,want,2.89,need,0
Coffee,Education,8991,one-time,need,0.7,want,0
Travel Tickets,Food,1532,weekly,need,1.41,need,1
School Fees,Lifestyle,1969,daily,want,0.8,want,1
Rent,Utilities,2239,weekly,need,2.34,want,0
Bus Pass,Medical,3449,one-time,need,1.55,need,1
School Fees,Entertainment,1454,daily,want,2.09,want,1
New Sneakers,Education,13093,monthly,need,1.16,need,1
Gift Purchase,Education,15278,monthly,need,0.77,need,1
Taxi Ride,Food,1499,daily,need,0.73,need,1
Petrol,Travel,5528,monthly,want,2.7,want,1
Doctor Visit,Medical,4874,one-time,need,3.4,need,1
Snacks,Medical,2809,one-time,need,1.49,need,1
Groceries,Travel,6091,daily,want,2.82,want,1
Coffee,Entertainment,2332,one-time,want,3.37,want,1
Online Course,Housing,17921,weekly,need,0.67,need,1
Health Insurance,Housing,19331,monthly,need,2.95,need,1
Gift Purchase,Entertainment,408,weekly,want,0.8,need,0
Insurance Premium,Shopping,3032,weekly,want,0.96,want,1
Clothes Shopping,Housing,8583,monthly,need,2.19,need,1
Rent,Utilities,637,monthly,need,1.8,need,1
Gadgets,Housing,11502,one-time,need,1.88,need,1
Electricity Bill,Housing,17812,monthly,need,0.55,want,0
Streaming Subscription,Utilities,3564,weekly,need,3.23,want,0
Medicines,Lifestyle,1646,daily,want,2.05,need,0
Dining Out,Food,2380,daily,need,3.46,need,1
Electricity Bill,Shopping,4540,one-time,want,2.49,want,1
Online Course,Medical,1184,weekly,need,2.58,need,1
Gift Purchase,Lifestyle,522,weekly,want,3.1,want,1
Bus Pass,Shopping,2287,one-time,want,1.83,want,1
Online Course,Shopping,7483,monthly,want,0.93,want,1
Movie Night,Utilities,1504,one-time,need,0.82,need,1
Doctor Visit,Travel,11897,monthly,want,2.01,want,1
Bus Pass,Education,2484,weekly,need,1.0,need,1
Emergency Meds,Utilities,3030,monthly,need,1.37,need,1
Gadgets,Food,767,monthly,need,1.0,need,1
Laptop EMI,Shopping,2016,one-time,want,2.94,want,1
Movie Night,Food,765,monthly,need,1.8,need,1
Rent,Housing,11741,one-time,need,0.74,need,1
Emergency Meds,Lifestyle,2278,one-time,want,1.56,want,1
Electricity Bill,Housing,17999,daily,need,3.19,need,1
Travel Tickets,Food,1982,monthly,need,1.89,need,1
Taxi Ride,Education,10419,weekly,need,2.91,need,1
Travel Tickets,Travel,5229,weekly,want,1.16,want,1
Internet Plan,Travel,10410,daily,want,0.98,want,1
Insurance Premium,Shopping,3449,weekly,want,1.35,want,1
Groceries,Lifestyle,2648,daily,want,1.2,want,1
Salon Visit,Travel,2330,one-time,want,2.33,want,1
Medicines,Shopping,1077,daily,want,2.69,want,1
Movie Night,Medical,1969,weekly,need,0.89,want,0
Bus Pass,Travel,3582,one-time,want,1.12,want,1
Gym Membership,Medical,4853,weekly,need,2.12,need,1
Streaming Subscription,Food,1277,monthly,need,2.12,need,1
Petrol,Shopping,2638,monthly,want,1.86,want,1
Gadgets,Food,1550,weekly,need,0.74,need,1
School Fees,Travel,13545,one-time,want,3.25,need,0
Taxi Ride,Shopping,7922,monthly,want,3.29,want,1
Salon Visit,Travel,11707,daily,want,1.9,need,0
Mobile Recharge,Utilities,2322,monthly,need,1.0,need,1
Petrol,Shopping,1721,one-time,want,0.77,want,1
Movie Night,Entertainment,1153,weekly,want,0.57,want,1
Clothes Shopping,Medical,4703,daily,need,1.29,want,0
School Fees,Lifestyle,418,daily,want,3.02,need,0
Emergency Meds,Shopping,544,weekly,want,1.63,want,1
Phone EMI,Medical,2802,daily,need,2.09,need,1
Travel Tickets,Food,1215,one-time,need,1.38,need,1
Online Course,Utilities,3238,one-time,need,0.97,need,1
Insurance Premium,Utilities,1568,daily,need,1.25,need,1
Emergency Meds,Housing,7754,daily,need,2.87,want,0
Electricity Bill,Shopping,7699,daily,want,3.21,want,1
Gift Purchase,Utilities,319,one-time,need,1.52,want,0
Coffee,Food,996,daily,need,3.27,need,1
Coffee,Utilities,3118,one-time,need,1.27,need,1
Snacks,Utilities,3340,weekly,need,3.38,need,1
Taxi Ride,Lifestyle,1374,daily,want,1.42,need,0
Phone EMI,Shopping,6259,weekly,want,1.76,want,1
Online Course,Lifestyle,927,daily,want,0.73,want,1
Gift Purchase,Shopping,1095,one-time,want,1.57,want,1
Fast Food,Lifestyle,634,one-time,want,1.76,want,1
Online Course,Medical,3773,one-time,need,0.68,need,1
New Sneakers,Utilities,946,monthly,need,2.31,need,1
Medicines,Lifestyle,916,daily,want,3.43,want,1
Phone EMI,Education,14917,one-time,need,2.35,need,1
Party Expenses,Entertainment,2156,daily,want,2.32,need,0
Health Insurance,Travel,14887,one-time,want,2.12,need,0
Streaming Subscription,Travel,6699,weekly,want,2.81,want,1
Gym Membership,Medical,3398,one-time,need,2.96,need,1
Phone EMI,Lifestyle,2936,one-time,want,1.08,want,1
Travel Tickets,Lifestyle,1604,monthly,want,2.51,want,1
Travel Tickets,Entertainment,1269,monthly,want,1.69,want,1
Health Insurance,Education,14684,monthly,need,1.67,need,1
Health Insurance,Lifestyle,2953,one-time,want,1.42,need,0
Taxi Ride,Medical,3791,weekly,need,0.77,need,1
Online Course,Medical,4314,weekly,need,1.84,need,1
Party Expenses,Travel,12096,one-time,want,1.88,want,1
Insurance Premium,Entertainment,304,one-time,want,2.1,want,1
Fast Food,Entertainment,688,monthly,want,2.05,want,1
Party Expenses,Utilities,2518,monthly,need,2.2,want,0
Rent,Entertainment,2505,monthly,want,1.18,want,1
Laptop EMI,Entertainment,355,weekly,want,0.86,need,0
Gym Membership,Education,13499,one-time,need,3.14,want,0
Health Insurance,Shopping,5047,monthly,want,3.32,want,1
Mobile Recharge,Education,18958,weekly,need,1.07,want,0
Salon Visit,Housing,14412,daily,need,2.63,need,1
Travel Tickets,Lifestyle,2866,daily,want,1.68,want,1
Travel Tickets,Utilities,402,monthly,need,2.36,need,1
Snacks,Lifestyle,577,monthly,want,1.24,want,1
Phone EMI,Education,5215,daily,need,1.8,need,1
Mobile Recharge,Food,976,one-time,need,2.98,want,0
Party Expenses,Lifestyle,225,monthly,want,1.9,want,1
Movie Night,Entertainment,1423,monthly,want,0.81,need,0
Snacks,Food,155,monthly,need,1.12,need,1
Hotel Stay,Lifestyle,2769,one-time,want,2.68,want,1
School Fees,Education,16429,daily,need,0.91,want,0
Water Bill,Education,5656,one-time,need,2.53,need,1
Rent,Shopping,4829,daily,want,0.72,need,0
Clothes Shopping,Entertainment,2910,daily,want,1.26,want,1
Doctor Visit,Housing,16108,monthly,need,0.75,need,1
Coffee,Entertainment,534,daily,want,0.86,want,1
Rent,Utilities,2078,one-time,need,2.71,want,0
Coffee,Medical,3177,monthly,need,2.21,want,0
Salon Visit,Housing,18570,weekly,need,1.9,need,1
Movie Night,Lifestyle,1841,monthly,want,2.61,want,1
Streaming Subscription,Food,2165,daily,need,1.75,need,1
Movie Night,Travel,6277,weekly,want,1.15,need,0
Health Insurance,Education,15575,one-time,need,0.87,need,1
Concert Ticket,Food,233,weekly,need,0.76,want,0
School Fees,Education,9154,daily,need,0.94,need,1
Internet Plan,Shopping,7221,monthly,want,2.82,need,0
Water Bill,Lifestyle,2732,monthly,want,2.19,want,1
Clothes Shopping,Food,1674,weekly,need,1.68,need,1
Gym Membership,Lifestyle,2074,daily,want,2.48,want,1
Fast Food,Entertainment,666,one-time,want,2.09,need,0
Party Expenses,Medical,2424,daily,need,2.65,want,0
Movie Night,Entertainment,2831,daily,want,2.45,want,1
Groceries,Food,1457,monthly,need,1.34,want,0
Medicines,Utilities,1480,one-time,need,1.34,need,1
Electricity Bill,Travel,9158,daily,want,1.32,want,1
Medicines,Travel,5744,weekly,want,2.6,want,1
Phone EMI,Shopping,4010,daily,want,1.24,want,1
Concert Ticket,Utilities,1489,one-time,need,2.34,need,1
Clothes Shopping,Travel,10003,monthly,want,2.16,want,1
Water Bill,Utilities,429,monthly,need,2.59,need,1
Gadgets,Shopping,2363,weekly,want,0.61,want,1
Electricity Bill,Education,6565,monthly,need,1.63,need,1
Laptop EMI,Education,9005,one-time,need,3.11,need,1
Bus Pass,Shopping,4693,one-time,want,2.45,want,1
Rent,Housing,9529,weekly,need,3.29,need,1
Water Bill,Utilities,3206,one-time,need,0.54,need,1
Fast Food,Travel,12226,daily,want,2.02,want,1
New Sneakers,Housing,19866,one-time,need,3.15,need,1
Emergency Meds,Travel,6783,daily,want,2.15,want,1
Salon Visit,Travel,6624,daily,want,2.93,need,0
Party Expenses,Travel,13195,monthly,want,0.87,want,1
Taxi Ride,Lifestyle,724,monthly,want,2.27,want,1
Laptop EMI,Shopping,7709,one-time,want,1.59,want,1
Fast Food,Lifestyle,388,weekly,want,2.33,want,1
New Sneakers,Shopping,5485,weekly,want,2.49,want,1
Laptop EMI,Entertainment,1643,daily,want,2.66,want,1
Rent,Lifestyle,163,weekly,want,1.22,want,1
Bus Pass,Shopping,3198,daily,want,2.77,need,0
Health Insurance,Entertainment,976,weekly,want,2.29,want,1
Mobile Recharge,Utilities,2907,one-time,need,1.87,need,1
New Sneakers,Medical,1610,daily,need,1.54,want,0
Concert Ticket,Travel,9033,weekly,want,1.35,want,1
Hotel Stay,Medical,944,monthly,need,3.14,need,1
Phone EMI,Shopping,3473,daily,want,2.52,want,1
Online Course,Entertainment,1086,one-time,want,0.84,want,1
Doctor Visit,Education,873,daily,need,1.03,need,1
Bus Pass,Entertainment,1243,one-time,want,2.24,want,1
Streaming Subscription,Food,513,daily,need,2.34,need,1
Clothes Shopping,Housing,12475,monthly,need,2.48,want,0
Gym Membership,Medical,4549,daily,need,3.24,need,1
Laptop EMI,Medical,1942,monthly,need,0.76,need,1
Salon Visit,Shopping,5360,monthly,want,1.03,want,1
Medicines,Entertainment,455,weekly,want,2.97,need,0
