id,asset,risk_score,emotion_bias,investment_amount,market_event
283,Real Estate,59,Confirmation,129290,Volatile
284,Real Estate,23,Confirmation,124624,Bull Run
285,Gold,38,Confirmation,349290,Volatile
286,Commodities,84,FOMO,73530,Correction
287,Commodities,97,Panic,96996,Correction
288,Crypto,15,Herd,450655,Correction
289,Bonds,35,Confirmation,324190,Crash
290,Crypto,33,Calm,451779,Correction
291,Bonds,10,Calm,252185,Correction
292,Bonds,23,Calm,136968,Crash
293,Real Estate,28,Confirmation,266513,Volatile
294,Crypto,22,Confirmation,369652,Correction
295,Gold,88,Loss Aversion,361105,Bull Run
296,Commodities,29,Herd,274045,Crash
297,Commodities,59,Panic,129455,Bull Run
298,Stocks,53,FOMO,294803,Bull Run
299,Crypto,76,Panic,81338,Volatile
300,Commodities,38,Loss Aversion,259047,Correction
301,Gold,30,Calm,123391,Sideways
302,Commodities,95,Panic,406515,Correction
303,Bonds,64,Calm,445555,Correction
304,Commodities,72,Loss Aversion,92252,Bull Run
305,Stocks,98,Confirmation,122091,Sideways
306,Gold,48,Herd,266433,Correction
307,Stocks,69,Herd,199431,Volatile
308,Commodities,82,Panic,408345,Crash
309,Commodities,47,Panic,289959,Crash
310,Gold,59,Panic,45015,Correction
311,Crypto,5,Herd,127699,Crash
312,Gold,23,Panic,316993,Volatile
313,Stocks,9,Panic,400193,Bull Run
314,Stocks,37,Calm,402173,Sideways
315,Gold,25,FOMO,440891,Correction
316,Gold,58,Panic,439448,Correction
317,Real Estate,62,Confirmation,252228,Crash
318,Crypto,1,Loss Aversion,417054,Bull Run
319,Real Estate,12,Herd,413820,Correction
320,Bonds,73,Confirmation,299683,Correction
321,Stocks,44,Panic,242439,Correction
322,Crypto,45,Herd,322389,Bull Run
323,Stocks,46,Calm,265522,Crash
324,Crypto,83,Loss Aversion,152476,Sideways
325,Real Estate,61,Calm,262028,Bull Run
326,Commodities,100,Panic,303450,Correction
327,Crypto,58,Herd,391834,Bull Run
328,Real Estate,7,Calm,433394,Crash
329,Commodities,46,Calm,118558,Volatile
330,Real Estate,1,Herd,66998,Bull Run
331,Commodities,18,Loss Aversion,86953,Sideways
332,Crypto,78,Calm,169703,Correction
333,Crypto,30,Confirmation,115855,Volatile
334,Real Estate,43,Herd,165895,Bull Run
335,Real Estate,39,Loss Aversion,71548,Volatile
336,Stocks,39,Loss Aversion,63616,Crash
337,Bonds,63,Calm,84692,Correction
338,Commodities,75,Calm,246151,Volatile
339,Real Estate,16,Calm,33327,Crash
340,Commodities,27,Confirmation,256544,Correction
341,Real Estate,47,Herd,406754,Correction
342,Real Estate,13,Calm,33661,Crash
343,Stocks,25,Calm,109659,Volatile
344,Real Estate,34,FOMO,358508,Bull Run
345,Stocks,81,Confirmation,211694,Volatile
346,Stocks,3,Herd,495086,Volatile
347,Stocks,86,FOMO,405497,Sideways
348,Gold,76,Herd,454717,Correction
349,Crypto,73,FOMO,281619,Sideways
350,Bonds,29,Calm,332214,Volatile
351,Gold,12,FOMO,234048,Correction
352,Crypto,41,Loss Aversion,269980,Correction
353,Crypto,54,Calm,68803,Crash
354,Gold,42,Herd,396098,Bull Run
355,Stocks,22,Confirmation,390655,Correction
356,Gold,2,Panic,370967,Bull Run
357,Bonds,26,Calm,188785,Bull Run
358,Commodities,88,Loss Aversion,73618,Crash
359,Stocks,43,Loss Aversion,265003,Correction
360,Bonds,25,Panic,26016,Correction
361,Real Estate,2,Herd,26989,Volatile
362,Commodities,55,Herd,487852,Correction
363,Bonds,22,Confirmation,451758,Correction
364,Crypto,76,FOMO,291313,Volatile
365,Bonds,27,Panic,88724,Sideways
366,Commodities,56,FOMO,206824,Sideways
367,Commodities,69,Herd,384023,Crash
368,Gold,39,Calm,295713,Bull Run
369,Real Estate,51,Confirmation,104416,Volatile
370,Commodities,25,Loss Aversion,206747,Correction
371,Gold,88,Calm,16667,Sideways
372,Bonds,6,Calm,445809,Crash
373,Crypto,12,Confirmation,201881,Crash
374,Bonds,66,Panic,90118,Bull Run
375,Crypto,86,Panic,135421,Sideways
376,Commodities,98,Confirmation,52362,Bull Run
377,Real Estate,88,Confirmation,410961,Volatile
378,Commodities,38,Herd,190700,Correction
379,Commodities,84,Calm,115031,Crash
380,Crypto,4,Confirmation,482466,Bull Run
381,Gold,9,Calm,252662,Correction
382,Real Estate,36,Loss Aversion,479893,Correction
383,Stocks,1,FOMO,479905,Bull Run
384,Stocks,26,Herd,264044,Crash
385,Real Estate,30,FOMO,288622,Bull Run
386,Real Estate,60,Confirmation,443749,Correction
387,Bonds,99,Herd,248657,Correction
388,Gold,36,Panic,118997,Sideways
389,Stocks,74,Herd,352864,Sideways
390,Stocks,51,Herd,245041,Sideways
391,Stocks,99,Panic,478337,Volatile
392,Crypto,4,Loss Aversion,211626,Crash
393,Stocks,32,Loss Aversion,237168,Sideways
394,Bonds,50,Calm,39728,Volatile
395,Bonds,51,Calm,285752,Volatile
396,Crypto,36,Herd,199965,Volatile
397,Bonds,48,Panic,235763,Correction
398,Commodities,44,Calm,494545,Volatile
399,Crypto,35,Herd,7388,Crash
400,Crypto,81,Panic,13532,Crash
401,Stocks,27,FOMO,252865,Volatile
402,Real Estate,84,Herd,480543,Crash
403,Commodities,56,Panic,166027,Correction
404,Gold,34,FOMO,159403,Volatile
405,Gold,26,Herd,18831,Correction
406,Real Estate,73,FOMO,438266,Crash
407,Crypto,8,Calm,34678,Volatile
408,Commodities,68,Panic,31058,Volatile
409,Gold,58,Confirmation,320408,Volatile
410,Commodities,25,Herd,445575,Bull Run
411,Crypto,20,Calm,339743,Sideways
412,Commodities,66,FOMO,461317,Crash
413,Commodities,13,Panic,243630,Volatile
414,Commodities,65,FOMO,270205,Correction
415,Crypto,78,Confirmation,6097,Sideways
416,Crypto,7,Loss Aversion,38845,Sideways
417,Gold,75,Herd,310276,Bull Run
418,Gold,67,Loss Aversion,315592,Sideways
419,Real Estate,4,Confirmation,488659,Volatile
420,Real Estate,79,Calm,172144,Correction
421,Bonds,23,Loss Aversion,146941,Correction
422,Crypto,52,Loss Aversion,309801,Bull Run
423,Bonds,67,Loss Aversion,235271,Volatile
424,Stocks,36,Herd,313502,Sideways
425,Commodities,30,Loss Aversion,173877,Crash
426,Commodities,91,Confirmation,61247,Sideways
427,Bonds,92,Confirmation,497122,Crash
428,Stocks,43,FOMO,103774,Crash
429,Bonds,57,Confirmation,303321,Correction
430,Crypto,24,Herd,313218,Correction
431,Real Estate,73,Panic,407693,Crash
432,Bonds,18,Herd,457870,Bull Run
433,Real Estate,93,FOMO,121244,Correction
434,Stocks,16,Loss Aversion,195229,Bull Run
435,Gold,25,Panic,10046,Bull Run
436,Commodities,60,Confirmation,293146,Crash
437,Real Estate,76,Calm,19966,Sideways
438,Stocks,93,Confirmation,146045,Correction
439,Gold,63,Panic,364137,Volatile
440,Real Estate,99,Herd,393995,Volatile
441,Commodities,97,Panic,150874,Bull Run
442,Bonds,19,Confirmation,290898,Correction
443,Gold,100,FOMO,251983,Bull Run
444,Stocks,95,Panic,155884,Crash
445,Bonds,58,Herd,273235,Correction
446,Real Estate,83,Panic,137436,Sideways
447,Bonds,29,Calm,291125,Volatile
448,Bonds,90,FOMO,387582,Bull Run
449,Bonds,62,FOMO,406889,Bull Run
450,Gold,92,Loss Aversion,41765,Crash
451,Stocks,4,FOMO,392424,Sideways
452,Real Estate,86,Herd,305517,Sideways
453,Crypto,19,Loss Aversion,307417,Sideways
454,Commodities,72,Confirmation,148587,Crash
455,Real Estate,100,Calm,148883,Volatile
456,Commodities,37,Herd,192618,Correction
457,Stocks,47,Confirmation,488326,Sideways
458,Real Estate,25,Loss Aversion,323708,Bull Run
459,Bonds,93,FOMO,425874,Volatile
460,Commodities,20,Calm,370222,Volatile
461,Real Estate,25,Loss Aversion,205905,Correction
462,Bonds,50,Confirmation,162145,Volatile
463,Real Estate,13,FOMO,477256,Bull Run
464,Real Estate,31,Calm,50576,Sideways
465,Stocks,37,Calm,396600,Sideways
466,Gold,37,Herd,461509,Sideways
467,Stocks,5,Calm,280045,Volatile
468,Bonds,91,FOMO,462277,Crash
469,Bonds,89,Calm,27578,Correction
470,Crypto,5,Herd,204433,Sideways
471,Real Estate,10,Loss Aversion,458584,Volatile
472,Crypto,1,FOMO,105175,Sideways
473,Stocks,54,Herd,78314,Correction
474,Real Estate,15,FOMO,258657,Sideways
475,Bonds,10,FOMO,86201,Crash
476,Commodities,34,FOMO,346397,Volatile
477,Real Estate,36,Confirmation,126239,Volatile
478,Real Estate,60,Loss Aversion,122125,Volatile
479,Bonds,58,Loss Aversion,435225,Sideways
480,Stocks,85,FOMO,214885,Sideways
481,Commodities,63,Herd,480762,Bull Run
482,Stocks,20,FOMO,155856,Crash
483,Commodities,1,Herd,321940,Sideways
484,Commodities,82,Panic,344444,Bull Run
485,Gold,64,FOMO,373209,Crash
486,Commodities,10,FOMO,330430,Crash
487,Stocks,23,Panic,314769,Sideways
488,Gold,33,Loss Aversion,52239,Correction
489,Bonds,73,Calm,347028,Correction
490,Stocks,66,FOMO,206939,Bull Run
491,Stocks,84,Panic,234005,Volatile
492,Crypto,51,FOMO,316815,Volatile
493,Stocks,13,Loss Aversion,70813,Volatile
494,Stocks,95,FOMO,445635,Volatile
495,Stocks,25,Loss Aversion,102273,Bull Run
496,Commodities,69,Loss Aversion,322791,Crash
497,Stocks,98,Loss Aversion,63830,Bull Run
498,Crypto,35,Panic,377991,Correction
499,Bonds,68,Calm,423595,Crash
500,Bonds,40,Confirmation,94914,Correction
501,Crypto,46,Herd,281626,Sideways
502,Gold,37,Confirmation,155150,Bull Run
503,Crypto,70,Confirmation,54279,Bull Run
504,Gold,62,FOMO,121806,Bull Run
505,Real Estate,73,Herd,56962,Volatile
506,Stocks,67,Calm,260592,Sideways
507,Commodities,34,Loss Aversion,77891,Crash
508,Bonds,55,Herd,338633,Correction
509,Gold,84,Panic,374827,Bull Run
510,Commodities,48,Confirmation,63444,Bull Run
511,Real Estate,53,Calm,388283,Volatile
512,Crypto,14,Panic,482556,Bull Run
513,Crypto,42,Loss Aversion,188716,Bull Run
514,Crypto,19,Panic,329513,Sideways
515,Crypto,83,Calm,288666,Correction
516,Real Estate,76,FOMO,389184,Sideways
517,Crypto,76,Panic,180729,Volatile
518,Real Estate,57,Calm,467111,Sideways
519,Gold,2,Loss Aversion,134741,Bull Run
520,Crypto,32,Calm,229168,Bull Run
521,Gold,21,Calm,250571,Volatile
522,Crypto,71,Loss Aversion,482928,Volatile
523,Crypto,49,Loss Aversion,456962,Bull Run
524,Crypto,25,Herd,29673,Sideways
525,Real Estate,41,FOMO,299028,Bull Run
526,Real Estate,61,Loss Aversion,113252,Bull Run
527,Bonds,97,Confirmation,139289,Volatile
528,Commodities,63,Loss Aversion,270287,Crash
529,Stocks,16,Herd,203920,Sideways
530,Commodities,82,Herd,483184,Crash
531,Bonds,60,Panic,380599,Bull Run
532,Crypto,37,Herd,232103,Correction
533,Crypto,65,Loss Aversion,29639,Sideways
534,Crypto,19,Confirmation,45428,Correction
535,Commodities,1,Panic,151496,Crash
536,Crypto,98,Herd,333430,Correction
537,Crypto,93,Calm,82594,Bull Run
538,Crypto,62,Loss Aversion,98942,Sideways
539,Stocks,92,Loss Aversion,410812,Bull Run
540,Real Estate,89,FOMO,9768,Bull Run
541,Real Estate,90,Confirmation,289802,Bull Run
542,Bonds,88,Calm,44109,Correction
543,Gold,100,FOMO,468612,Crash
544,Stocks,90,Herd,92770,Bull Run
545,Bonds,2,Herd,173374,Crash
546,Bonds,57,Loss Aversion,150294,Bull Run
547,Commodities,10,Loss Aversion,362690,Sideways
548,Commodities,91,Panic,394877,Volatile
549,Commodities,4,Confirmation,471517,Volatile
550,Real Estate,33,Loss Aversion,440918,Crash
551,Gold,37,Loss Aversion,225859,Correction
552,Stocks,18,FOMO,39898,Correction
553,Gold,39,Calm,378067,Sideways
554,Real Estate,78,Confirmation,365658,Bull Run
555,Gold,48,Calm,463338,Crash
556,Bonds,12,Confirmation,125272,Correction
557,Bonds,12,Calm,493184,Bull Run
558,Crypto,7,Loss Aversion,157818,Bull Run
559,Real Estate,76,Panic,195330,Crash
560,Stocks,80,Confirmation,295064,Bull Run
561,Commodities,6,Loss Aversion,347745,Bull Run
562,Commodities,53,Calm,6973,Bull Run
563,Real Estate,87,FOMO,209140,Sideways
564,Real Estate,95,Calm,470111,Sideways
565,Stocks,7,Loss Aversion,433007,Sideways
566,Crypto,56,Herd,190047,Volatile
567,Real Estate,83,Calm,332154,Correction
568,Stocks,23,Calm,440763,Correction
569,Bonds,96,FOMO,395385,Volatile
570,Stocks,38,Calm,356020,Sideways
571,Bonds,65,Calm,66175,Bull Run
572,Bonds,22,Herd,274673,Crash
573,Stocks,58,FOMO,109735,Sideways
574,Stocks,20,Herd,311926,Bull Run
575,Crypto,93,Herd,181879,Sideways
576,Bonds,81,Confirmation,423706,Sideways
577,Stocks,72,FOMO,60398,Correction
578,Real Estate,85,FOMO,79542,Correction
579,Gold,19,Confirmation,391685,Volatile
580,Crypto,11,Panic,470019,Volatile
581,Stocks,12,Loss Aversion,369488,Bull Run
582,Bonds,67,Herd,84568,Crash
583,Stocks,25,FOMO,128598,Correction
584,Gold,10,FOMO,498798,Correction
585,Commodities,55,Confirmation,61481,Volatile
586,Real Estate,72,Herd,130175,Crash
587,Commodities,71,Loss Aversion,403108,Correction
588,Real Estate,92,Loss Aversion,392944,Correction
589,Real Estate,33,Herd,10466,Sideways
590,Gold,22,Confirmation,180077,Bull Run
591,Real Estate,51,Loss Aversion,395568,Volatile
592,Stocks,86,Herd,310048,Volatile
593,Crypto,8,Panic,168438,Crash
594,Gold,41,Herd,364509,Volatile
595,Crypto,41,Panic,448367,Volatile
596,Crypto,25,Confirmation,423502,Correction
597,Commodities,77,Panic,173853,Crash
598,Real Estate,44,Calm,286013,Sideways
599,Gold,31,Herd,316913,Correction
600,Real Estate,4,Herd,60369,Volatile
601,Commodities,7,Panic,312158,Bull Run
602,Stocks,57,FOMO,180492,Bull Run
603,Crypto,20,Panic,165974,Correction
604,Bonds,62,Loss Aversion,441969,Crash
605,Real Estate,83,Panic,160670,Correction
606,Commodities,54,Panic,232789,Correction
607,Real Estate,47,Herd,23703,Correction
608,Gold,79,FOMO,77149,Volatile
609,Crypto,39,Herd,379559,Correction
610,Commodities,59,Panic,346410,Volatile
611,Commodities,58,Loss Aversion,15474,Crash
612,Crypto,80,Confirmation,17988,Bull Run
613,Gold,43,Panic,383612,Volatile
614,Real Estate,6,Confirmation,300758,Volatile
615,Real Estate,40,FOMO,27848,Correction
616,Commodities,54,Panic,192566,Volatile
617,Crypto,51,Calm,470121,Bull Run
618,Bonds,54,Calm,106730,Volatile
619,Bonds,97,Loss Aversion,371081,Crash
620,Stocks,54,FOMO,45625,Correction
621,Real Estate,60,Panic,42015,Sideways
622,Crypto,93,Calm,60926,Volatile
623,Commodities,76,Herd,251854,Sideways
624,Stocks,53,Confirmation,206546,Crash
625,Stocks,3,FOMO,54726,Sideways
626,Crypto,91,Calm,369679,Bull Run
627,Real Estate,69,Herd,136277,Bull Run
628,Crypto,100,Panic,398224,Bull Run
629,Commodities,46,Herd,9135,Volatile
630,Bonds,86,Herd,110678,Sideways
631,Stocks,45,FOMO,300408,Crash
632,Real Estate,83,Confirmation,184823,Sideways
633,Real Estate,100,Panic,451400,Volatile
634,Stocks,25,FOMO,487515,Bull Run
