monthly_sip,lump_sum_initial,annual_rate_percent,years,future_value_sip,future_value_lump_sum,total_invested
1124,138468,9.71,30,2409102.56,2233302.08,543108
4872,0,7.99,25,4655744.2,0.0,1461600
7331,65674,17.74,25,40559234.4,3891730.92,2264974
2963,0,12.28,20,3075379.23,0.0,711120
5464,0,8.99,25,6163480.62,0.0,1639200
7401,82876,14.13,30,42365855.34,4367709.59,2747236
8437,0,5.26,10,1334498.36,0.0,1012440
6111,136556,12.01,30,21638592.12,4106536.75,2336516
8015,145437,17.87,25,45523268.8,8869479.86,2549937
8796,0,12.76,15,4773402.11,0.0,1583280
5661,29989,8.12,30,8702667.01,311935.56,2067949
2946,81573,10.45,30,7390415.8,1606865.68,1142133
4569,0,12.09,30,16448070.16,0.0,1644840
2446,67463,9.63,30,5152134.56,1063986.73,948023
5742,174383,11.77,5,470700.37,304242.68,518903
6447,86376,11.08,25,10404214.93,1195556.63,2020476
512,0,10.56,20,421720.79,0.0,122880
5235,0,17.77,25,29170408.84,0.0,1570500
5708,119781,17.54,15,4999985.24,1351750.53,1147221
9325,0,15.59,15,6697417.94,0.0,1678500
4492,0,13.82,15,2703435.17,0.0,808560
2330,108061,17.88,30,32422168.19,15026978.29,946861
1230,31340,14.44,15,787534.86,237081.26,252740
7073,11385,16.72,15,5697300.31,115740.95,1284525
771,96283,6.08,20,361607.68,313700.64,281323
912,0,11.02,20,798875.2,0.0,218880
615,127638,15.85,10,180580.64,555594.6,201438
7847,24956,12.32,10,1858853.56,79787.98,966596
7764,0,7.44,25,6784125.47,0.0,2329200
4995,0,5.83,15,1438208.02,0.0,899100
6810,10591,5.67,5,473398.34,13956.33,419191
1782,135339,10.68,25,2678453.99,1708737.95,669939
1358,0,12.02,30,4813089.54,0.0,488880
7814,0,16.39,5,728777.97,0.0,468840
5829,0,14.72,10,1596892.6,0.0,699480
3854,0,12.88,10,944067.92,0.0,462480
2001,16868,8.59,10,381170.51,38470.18,256988
2913,44411,15.72,30,24202713.72,3549049.76,1093091
7379,158653,10.32,15,3177727.3,692503.64,1486873
5746,145984,10.32,15,2473460.76,636820.07,1180264
1058,0,8.9,30,1910991.65,0.0,380880
8024,183463,6.0,20,3727221.16,588707.36,2109223
1376,0,6.09,30,1413682.82,0.0,495360
9765,0,13.1,25,22580786.29,0.0,2929500
2497,0,11.98,20,2488064.98,0.0,599280
8297,190410,6.47,5,589019.41,260457.8,688230
3229,57206,10.31,5,254302.79,93456.69,250946
2769,0,12.11,5,229079.29,0.0,166140
4646,80266,6.48,25,3484252.46,385233.28,1474066
7750,21200,5.75,15,2217943.26,49072.83,1416200
1183,190479,17.71,15,1055230.35,2198193.62,403419
4858,81980,16.13,30,44487439.49,7286635.59,1830860
4873,133158,6.13,25,3465308.32,589894.78,1595058
543,172760,5.24,5,37314.68,223001.54,205340
921,0,6.27,15,275594.03,0.0,165780
3765,170204,13.55,5,324240.91,321343.37,396104
2663,0,16.6,15,2118231.14,0.0,479340
8929,0,12.72,25,19273738.97,0.0,2678700
1582,46782,10.66,5,125783.65,77640.9,141702
2170,146537,11.09,10,477630.0,419336.94,406937
760,185961,7.66,25,688219.49,1176430.71,413961
5142,26049,7.65,10,928382.06,54435.78,643089
4220,111519,8.46,10,797568.65,251123.27,617919
1632,156456,6.5,20,805169.55,551793.16,548136
8151,196058,15.05,15,5547193.36,1606680.76,1663238
6951,44458,15.55,30,55451018.87,3397374.3,2546818
9357,0,17.87,15,8488397.65,0.0,1684260
7404,150582,13.08,5,629211.05,278371.48,594822
9011,120700,15.05,20,13758530.92,1992818.31,2283340
2401,0,11.88,20,2359115.98,0.0,576240
7088,0,14.82,25,22497188.97,0.0,2126400
6944,0,9.19,5,530451.32,0.0,416640
2248,94770,13.72,20,2844767.8,1239532.21,634290
5547,0,9.06,15,2126597.34,0.0,998460
1654,0,16.42,5,154422.0,0.0,99240
2840,182967,9.06,10,555535.49,435443.8,523767
7536,0,6.2,25,5413866.23,0.0,2260800
8044,171895,5.96,25,5565949.97,730457.24,2585095
2984,121750,14.99,10,830805.35,491955.0,479830
9367,0,12.16,20,9568628.31,0.0,2248080
3692,0,6.11,10,611700.58,0.0,443040
9820,0,13.26,5,838761.01,0.0,589200
1899,60143,13.43,30,9255853.57,2635586.07,743783
5582,0,15.33,15,3904560.81,0.0,1004760
4130,0,13.49,30,20407393.82,0.0,1486800
5678,114479,17.8,5,551354.37,259702.43,455159
1985,131637,6.74,15,618857.98,350411.19,488937
5227,0,11.67,10,1191205.33,0.0,627240
3836,0,14.81,20,5656681.53,0.0,920640
2317,0,15.49,15,1646922.47,0.0,417060
5099,71026,17.84,25,28778837.31,4301744.3,1600726
7485,74150,11.88,30,25712068.31,2149973.38,2768750
5701,0,5.62,30,5357542.86,0.0,2052360
9277,0,6.37,25,6843636.3,0.0,2783100
6780,0,10.47,25,9839015.81,0.0,2034000
4925,43515,8.12,30,7570209.88,452547.15,1816515
3863,92608,7.69,30,5441614.78,854761.96,1483288
8177,0,5.14,10,1284627.03,0.0,981240
3295,0,12.7,15,1778494.28,0.0,593100
9533,0,17.3,30,115356959.05,0.0,3431880
6065,0,16.13,20,10813030.62,0.0,1455600
9422,0,15.71,5,861965.35,0.0,565320
9512,0,11.05,25,15259598.08,0.0,2853600
8457,193512,12.81,20,9440720.09,2156985.55,2223192
3895,0,15.76,5,356832.38,0.0,233700
4307,0,16.02,25,17137482.58,0.0,1292100
3925,0,17.05,25,19020633.29,0.0,1177500
8831,0,9.79,20,6575470.24,0.0,2119440
1215,0,12.23,25,2404066.93,0.0,364500
9397,133357,10.0,15,3926226.29,556854.85,1824817
7744,0,14.84,10,2137236.69,0.0,929280
9566,135100,8.0,25,9164385.86,926119.2,3004900
3307,154889,7.21,30,4229289.12,1249803.81,1345409
6211,0,17.4,25,32208850.4,0.0,1863300
8661,148470,11.11,15,4015798.04,721050.9,1707450
8085,0,16.99,20,16324390.91,0.0,1940400
7459,49768,16.16,15,5677628.42,471030.35,1392388
2293,0,15.85,5,210608.56,0.0,137580
9533,0,15.59,15,6847365.59,0.0,1715940
5715,19709,11.41,20,5270201.63,170915.02,1391309
5367,43516,15.28,25,18578793.43,1522569.11,1653616
7854,0,9.92,10,1614397.01,0.0,942480
4551,83343,8.72,15,1691858.17,292188.23,902523
6545,163531,6.64,30,7479861.09,1124839.48,2519731
3184,188369,16.92,15,2617048.69,1964084.38,761489
7931,0,12.17,5,657265.27,0.0,475860
760,80219,16.76,30,8068801.1,8366787.22,353819
7124,14877,14.73,25,22249615.85,461896.11,2152077
3682,0,10.28,30,8908270.8,0.0,1325520
4192,190777,7.62,30,5826528.45,1728614.77,1699897
8505,17139,12.8,15,4636211.04,104412.16,1548039
3014,126110,10.85,5,240859.04,211052.52,306950
9053,9568,7.7,5,664271.34,13865.3,552748
648,94935,8.58,25,682087.72,742705.65,289335
4220,0,14.02,15,2591608.59,0.0,759600
3436,57104,6.54,20,1702112.15,202673.57,881744
4439,102683,5.71,10,719718.14,179000.06,635363
3957,0,8.75,10,760352.15,0.0,474840
1104,178708,8.29,15,394622.37,589971.04,377428
6653,0,15.59,15,4778119.13,0.0,1197540
1800,0,17.74,30,24192118.85,0.0,648000
4088,0,11.88,25,7587867.01,0.0,1226400
9046,0,11.41,10,2029102.58,0.0,1085520
4330,137618,6.1,10,716990.99,248730.01,657218
7509,0,8.09,30,11474509.45,0.0,2703240
3078,0,7.04,30,3804093.91,0.0,1108080
7356,93016,7.58,25,6581791.76,578387.72,2299816
3860,79572,5.44,15,1075726.17,176227.66,774372
2183,166559,6.75,15,681085.68,443893.7,559499
1865,0,17.94,15,1702981.15,0.0,335700
8971,0,13.27,15,5116662.22,0.0,1614780
4067,105671,11.26,10,904573.86,307252.76,593711
3530,0,17.77,20,7999466.75,0.0,847200
8218,0,11.05,10,1804494.44,0.0,986160
9104,0,16.08,15,6867365.08,0.0,1638720
2414,133296,8.18,30,3760020.53,1411357.05,1002336
5572,0,13.96,15,3402453.42,0.0,1002960
7703,92589,12.54,10,1848776.56,301833.28,1016949
738,0,15.09,30,5285121.45,0.0,265680
5425,31206,15.95,30,47528485.22,2642942.51,1984206
4239,197486,8.29,5,316024.25,294123.67,451826
1843,0,10.78,5,147021.65,0.0,110580
1634,0,16.94,25,7755735.31,0.0,490200
8774,0,5.99,10,1444574.84,0.0,1052880
9388,95202,5.95,15,2732450.31,226598.5,1785042
9745,108011,8.46,20,6121253.46,547957.88,2446811
1942,0,15.31,10,551696.52,0.0,233040
9826,0,7.15,20,5243252.5,0.0,2358240
9815,151667,7.91,20,5753060.65,694932.8,2507267
8156,92896,11.45,30,25473162.73,2399957.34,3029056
5058,62380,16.42,20,9397634.47,1304057.25,1276300
3976,0,16.06,30,35757725.19,0.0,1431360
4146,0,15.63,20,6882105.37,0.0,995040
9447,155215,7.28,15,3085697.25,445080.62,1855675
836,0,8.59,30,1415395.93,0.0,300960
5917,0,9.85,25,7711565.79,0.0,1775100
2375,132192,13.48,10,603231.46,468306.46,417192
5136,0,13.65,15,3040777.52,0.0,924480
3754,0,7.24,20,2026248.25,0.0,900960
2579,119190,7.91,10,472647.46,255271.48,428670
1714,29982,14.39,5,151103.1,58721.97,132822
2764,105239,14.59,15,1794986.79,811135.9,602759
4309,96681,9.33,25,5147273.04,899764.45,1389381
3148,0,17.43,30,39287801.89,0.0,1133280
3311,0,9.5,25,4066558.4,0.0,993300
3992,0,7.77,15,1362468.01,0.0,718560
9733,0,17.16,25,48206846.16,0.0,2919900
3289,158971,6.06,15,966061.83,384098.41,750991
3500,0,12.16,25,6834147.2,0.0,1050000
8042,0,14.8,30,53738192.35,0.0,2895120
6451,0,13.04,20,7433835.26,0.0,1548240
668,0,7.58,30,920564.49,0.0,240480
3299,72049,13.19,10,822961.16,248622.33,467929
815,0,11.7,20,781545.16,0.0,195600
4982,29179,13.29,15,2847016.39,189581.43,925939
2538,0,14.95,25,8263304.76,0.0,761400
1692,0,17.03,5,160705.67,0.0,101520
990,0,16.75,25,4532734.82,0.0,297000
1820,0,5.36,25,1149797.42,0.0,546000
8789,45814,13.46,20,10725445.32,572310.69,2155174
958,119448,9.84,10,196070.46,305395.62,234408
6940,12289,9.95,20,5282408.87,81991.29,1677889
4164,95147,5.85,20,1899562.56,296686.92,1094507
6068,0,12.31,15,3153838.79,0.0,1092240
5643,98200,15.0,15,3818475.21,798769.42,1113940
7134,0,15.72,25,26822784.93,0.0,2140200
2909,154126,9.71,30,6234091.2,2485406.45,1201366
5299,61592,17.31,30,64297479.37,7409979.55,1969232
2084,0,17.02,15,1732040.22,0.0,375120
4420,176724,9.03,20,2984032.11,995133.96,1237524
1794,0,7.38,25,1553942.19,0.0,538200
4852,0,14.31,20,6671317.59,0.0,1164480
1506,0,7.18,5,108973.51,0.0,90360
7998,81146,6.19,5,563694.69,109584.96,561026
5437,0,8.33,5,405754.15,0.0,326220
6330,0,11.54,10,1431080.55,0.0,759600
7155,8955,9.31,20,5007186.36,53080.03,1726155
2819,82623,5.52,25,1824182.85,316686.63,928323
1413,5274,5.62,5,98093.12,6933.16,90054
5216,0,13.06,20,6028456.43,0.0,1251840
4526,180591,11.44,20,4191768.33,1575131.14,1266831
9574,0,17.9,20,22113968.68,0.0,2297760
3516,182296,13.17,30,16152131.51,7457935.06,1448056
8206,100397,12.22,10,1932166.07,318100.29,1085117
5761,0,9.76,25,7397862.39,0.0,1728300
9712,0,13.6,30,49174915.74,0.0,3496320
7955,0,17.05,5,756132.17,0.0,477300
8496,0,7.48,30,11472160.09,0.0,3058560
9820,37526,11.54,10,2220424.9,111875.88,1215926
4709,0,10.74,15,2107747.69,0.0,847620
9812,132189,13.83,5,851508.64,252603.71,720909
2505,0,16.5,5,234415.39,0.0,150300
4592,0,10.06,25,6209649.73,0.0,1377600
9934,13695,15.12,25,33350544.41,462491.78,2993895
4336,91910,12.89,30,18715478.13,3495940.58,1652870
1134,187447,16.64,20,2176774.33,4072468.77,459607
5015,198037,13.29,20,5982583.35,2403501.73,1401637
3965,0,17.45,20,8568907.76,0.0,951600
7135,0,7.41,15,2357565.12,0.0,1284300
635,0,5.09,10,99503.56,0.0,76200
8996,0,5.06,20,3738773.9,0.0,2159040
3429,0,7.18,25,2875286.04,0.0,1028700
7004,160234,11.39,30,21618804.82,4080485.38,2681674
6355,179209,14.8,5,566748.82,357347.79,560509
1714,0,14.51,15,1104672.47,0.0,308520
4174,0,17.58,10,1366760.73,0.0,500880
5462,123426,17.25,30,65244872.03,14603560.28,2089746
5679,0,14.55,25,17158322.33,0.0,1703700
1766,76750,13.34,10,444755.14,268552.28,288670
9026,92896,13.81,15,5430573.27,646944.45,1717576
3033,0,16.12,10,905703.4,0.0,363960
8387,0,13.96,15,5117942.51,0.0,1509660
2707,36133,17.91,30,37914841.81,5059271.54,1010653
1363,135129,17.62,10,447357.77,684721.04,298689
8509,0,14.41,5,750659.68,0.0,510540
9074,0,11.54,5,739117.61,0.0,544440
5692,0,8.67,25,6089075.75,0.0,1707600
1719,68848,5.18,15,468275.94,146760.64,378268
9880,15140,17.33,30,120332102.05,1828713.49,3571940
4402,87079,14.25,20,5999693.85,1249890.62,1143559
4199,0,16.66,15,3360282.37,0.0,755820
9086,127470,12.07,5,750842.66,225310.38,672630
6885,13764,16.98,30,77205799.88,1522296.22,2492364
797,0,6.61,15,245523.35,0.0,143460
5302,0,12.19,5,439626.85,0.0,318120
1425,26543,12.62,15,763186.74,157821.22,283043
2237,38319,15.11,30,16085224.15,2610144.6,843639
9065,0,5.76,5,631660.65,0.0,543900
6339,176170,9.1,15,2438002.13,650250.49,1317190
4338,152276,5.39,30,3901690.08,736130.81,1713956
7132,119614,6.11,10,1182054.1,216530.23,975454
5197,169806,8.15,15,1834721.76,549934.37,1105266
8101,64147,17.19,20,16848622.49,1530923.04,2008387
4498,105801,17.45,5,432454.45,236497.46,375681
9188,0,12.62,20,9989447.84,0.0,2205120
7583,0,15.56,20,12457644.55,0.0,1819920
9561,0,17.12,30,110657950.64,0.0,3441960
1829,0,11.93,20,1809528.96,0.0,438960
2701,0,9.46,10,540649.9,0.0,324120
1451,0,6.84,25,1152320.11,0.0,435300
9512,112180,6.85,10,1641950.01,217549.07,1253620
6246,0,11.69,5,510821.59,0.0,374760
4085,0,15.94,10,1206540.81,0.0,490200
1584,144543,9.02,5,120418.16,222554.75,239583
2996,126279,7.95,10,550144.75,271321.75,485799
2248,0,7.77,15,767277.48,0.0,404640
6407,81885,5.09,25,3881909.3,283109.49,2003985
4493,0,14.49,20,6338211.45,0.0,1078320
1576,188807,14.72,30,10350758.07,11622468.63,756167
2333,98493,9.88,15,964179.03,404706.09,518433
4352,91589,6.25,5,307171.02,124005.57,352709
6689,16629,17.83,25,37712257.11,1005965.21,2023329
4226,0,14.71,15,2777815.61,0.0,760680
2844,166485,15.17,20,4419849.16,2808662.74,849045
5403,0,7.12,10,947049.75,0.0,648360
8417,139714,12.29,25,16831717.11,2535627.69,2664814
3453,0,12.07,5,285380.9,0.0,207180
7949,175769,17.55,10,2597653.73,885461.04,1129649
6609,139889,6.29,25,4813516.31,642523.61,2122589
4000,0,16.41,30,39095670.73,0.0,1440000
9330,0,7.61,15,3139839.5,0.0,1679400
7733,198132,11.14,10,1707650.53,569821.16,1126092
4680,0,16.99,30,52503024.89,0.0,1684800
3192,129504,16.79,25,14728516.81,6278553.86,1087104
5400,147393,13.99,5,470743.46,283659.83,471393
5629,0,6.79,5,403090.19,0.0,337740
9466,48649,15.53,10,2725996.65,206113.8,1184569
1006,0,8.61,15,370137.82,0.0,181080
2254,42399,5.74,20,1015124.77,129531.87,583359
7651,0,8.43,25,7859178.39,0.0,2295300
5930,184906,8.86,25,6542841.03,1543910.76,1963906
1450,0,16.88,5,137133.12,0.0,87000
7536,146460,15.67,25,28082761.52,5577373.97,2407260
3834,24619,16.63,20,7353011.89,534310.08,944779
8677,0,17.6,20,19165621.92,0.0,2082480
6279,76732,9.67,30,13350749.47,1224917.78,2337172
7426,0,16.81,30,79854391.78,0.0,2673360
8432,39695,12.44,10,2011465.3,128239.35,1051535
7253,0,7.38,30,9604147.38,0.0,2611080
4571,104112,12.51,15,2423162.78,610356.59,926892
4798,0,10.78,25,7345588.78,0.0,1439400
2341,0,7.52,25,2072063.03,0.0,702300
5889,88969,9.05,5,448074.55,137185.53,442309
8379,0,8.8,20,5498899.65,0.0,2010960
5458,0,15.16,10,1536113.98,0.0,654960
5109,57040,12.58,5,428294.03,103175.07,363580
2884,0,16.91,30,31737319.88,0.0,1038240
4787,58244,8.02,25,4599176.75,400889.28,1494344
3991,50390,16.55,30,40307121.09,4980299.28,1487150
673,83230,6.85,5,48266.5,115906.24,123610
7150,0,8.71,5,539045.63,0.0,429000
4840,22021,10.27,20,3839303.02,155593.27,1183621
8450,0,7.29,20,4589343.69,0.0,2028000
2944,171806,10.74,10,634779.07,476349.46,525086
4914,0,17.62,15,4340840.91,0.0,884520
4157,6115,16.28,20,7576949.16,124961.02,1003795
3699,0,7.77,5,271897.13,0.0,221940
7333,0,17.42,15,6349146.88,0.0,1319940
4900,0,15.08,25,16349526.88,0.0,1470000
4804,0,16.61,30,49289177.54,0.0,1729440
2620,6260,11.98,30,9204404.29,186478.38,949460
6723,149016,10.47,5,531759.9,245188.59,552396
6798,0,15.42,5,616934.45,0.0,407880
4285,138319,16.77,15,3468401.49,1414779.07,909619
4712,0,7.88,20,2753698.58,0.0,1130880
9333,14670,10.71,15,4166310.62,67464.37,1694610
4423,0,14.55,5,391625.61,0.0,265380
2781,185113,13.07,30,12489867.74,7375998.84,1186273
3204,0,6.8,25,2528129.06,0.0,961200
1970,72619,8.12,25,1923419.06,511336.43,663619
7898,0,6.95,5,567914.78,0.0,473880
5891,0,11.16,10,1302301.23,0.0,706920
8468,0,16.1,5,783367.44,0.0,508080
3097,196732,15.22,25,10589074.59,6785815.54,1125832
5966,14479,14.98,20,9021803.15,236254.06,1446319
3212,0,10.13,10,668491.81,0.0,385440
9105,112235,5.43,10,1453191.65,190398.34,1204835
9984,0,10.57,20,8243135.23,0.0,2396160
3058,75382,11.9,25,5695855.92,1251895.42,992782
2702,83729,13.99,15,1654621.15,597021.9,570089
968,38566,11.79,30,3262811.56,1092946.34,387046
4180,0,13.38,15,2411302.55,0.0,752400
6615,73793,10.79,30,17900904.88,1597971.04,2455193
2251,0,7.28,5,163294.99,0.0,135060
1521,0,15.87,15,1123562.41,0.0,273780
9034,110440,7.09,15,2902514.26,308492.56,1736560
5802,0,14.68,10,1585050.1,0.0,696240
912,0,12.9,10,223673.46,0.0,109440
2349,0,9.57,10,473131.68,0.0,281880
3950,0,9.26,30,7686632.81,0.0,1422000
707,64812,16.5,5,66149.01,139078.18,107232
9025,141525,12.06,5,745705.82,250101.39,683025
6908,0,6.59,15,2125702.45,0.0,1243440
7902,29092,5.43,5,545740.64,37891.17,503212
1760,189556,15.19,20,2739418.76,3203872.57,611956
9181,158611,9.82,10,1877138.22,404879.33,1260331
6014,10079,12.56,10,1445145.77,32915.58,731759
6779,0,10.36,10,1429732.6,0.0,813480
6662,0,6.65,5,475216.04,0.0,399720
4459,0,11.66,20,4256475.61,0.0,1070160
5022,0,5.56,10,807501.13,0.0,602640
3156,0,7.4,15,1041937.97,0.0,568080
1712,171714,10.87,15,775746.55,806869.23,479874
8061,0,12.62,15,4319220.92,0.0,1450980
3594,0,10.89,25,5604837.51,0.0,1078200
8375,173414,9.43,10,1673418.05,426895.49,1178414
6140,0,16.41,25,26301168.86,0.0,1842000
5707,0,12.89,5,482555.64,0.0,342420
7650,196432,14.63,30,49150966.38,11796878.3,2950432
8563,78227,6.13,25,6087559.04,346393.3,2647127
8923,0,12.64,25,19003900.34,0.0,2676900
2810,164539,9.25,20,1952736.37,965602.91,838939
2287,0,10.04,15,959569.81,0.0,411660
7951,79744,8.65,20,5117275.49,419119.68,1987984
9195,199610,8.81,10,1772798.56,464165.23,1303010
7349,43869,13.94,10,1919622.67,161843.9,925749
2320,126526,17.11,5,220894.17,278743.74,265726
5444,0,8.41,5,407121.16,0.0,326640
8617,0,13.27,10,2160303.89,0.0,1034040
2946,0,12.76,30,12326683.09,0.0,1060560
4829,0,15.7,25,18088080.78,0.0,1448700
2265,0,17.47,30,28568125.27,0.0,815400
4095,0,9.48,20,2930341.95,0.0,982800
8291,0,10.91,25,12976939.71,0.0,2487300
9640,0,14.06,5,841920.81,0.0,578400
9164,0,17.35,30,112119845.77,0.0,3299040
4508,161072,5.64,10,727853.07,278765.59,702032
793,0,5.43,5,54777.56,0.0,47580
8423,0,6.66,25,6499924.07,0.0,2526900
7895,0,10.46,5,624259.61,0.0,473700
4518,59545,9.96,15,1881307.9,247402.05,872785
1876,170495,15.58,25,6869631.35,6363868.06,733295
1836,0,7.29,30,2385882.46,0.0,660960
7697,24851,15.97,5,709421.34,52126.02,486671
6865,17993,10.69,15,3060186.56,82574.78,1253693
8721,183751,8.41,15,3153120.13,617373.69,1753531
6948,178858,8.53,15,2539430.69,610991.62,1429498
7326,189267,9.41,20,5195316.34,1143192.61,1947507
5249,0,9.89,20,3961390.35,0.0,1259760
9972,0,14.03,10,2619105.63,0.0,1196640
7728,0,14.87,15,5165140.02,0.0,1391040
6442,24136,16.48,30,64109575.73,2347825.08,2343256
2068,46197,8.69,10,396183.65,106331.62,294357
5959,45106,8.1,20,3579045.96,214265.89,1475266
3771,15192,6.44,5,267511.92,20753.65,241452
1363,185733,15.18,25,4633231.66,6363447.35,594633
7612,0,12.98,15,4222368.6,0.0,1370160
7288,0,9.37,10,1451372.87,0.0,874560
1795,0,7.43,15,594530.76,0.0,323100
6303,0,7.52,25,5582735.95,0.0,1890900
4151,0,17.49,30,52561633.71,0.0,1494360
4963,0,6.7,30,5745224.94,0.0,1786680
4023,0,17.98,10,1350923.66,0.0,482760
2118,167319,6.76,30,2479296.98,1191114.22,929799
6217,0,7.97,20,3672430.12,0.0,1492080
6896,0,13.53,25,17254093.28,0.0,2068800
