id,username,level,xp_points,badge,score
197,Alpha,31,3433,Bronze,84.34
198,Zeta,42,1932,Bronze,88.08
199,Alpha,16,1220,Bronze,27.97
200,Bravo,24,3651,Platinum,20.25
201,Charlie,16,1818,Gold,57.82
202,Zeta,46,4917,Gold,39.05
203,Nova,16,335,None,98.73
204,Echo,8,2627,Gold,13.35
205,Echo,18,4578,None,18.36
206,Bravo,28,2556,None,31.1
207,Echo,14,4696,None,52.73
208,Echo,2,4678,Platinum,85.68
209,Delta,2,538,None,15.15
210,Delta,32,3790,Bronze,55.19
211,Delta,3,4886,Platinum,95.67
212,Nova,15,2259,Silver,25.21
213,Bravo,8,1481,None,90.51
214,Delta,10,4932,Platinum,74.93
215,Charlie,33,2211,Silver,52.03
216,Alpha,30,1936,Platinum,31.87
217,Gamma,14,2511,Gold,22.58
218,Gamma,27,1187,Platinum,57.56
219,Charlie,41,2163,Silver,15.43
220,Zeta,37,3382,Bronze,90.09
221,Zeta,7,884,Silver,4.33
222,Sigma,43,346,Gold,32.64
223,Echo,3,1661,None,23.97
224,Sigma,8,678,Platinum,82.97
225,Zeta,32,4565,Bronze,91.53
226,Charlie,22,2058,Gold,18.65
227,Nova,11,317,Platinum,52.76
228,Delta,19,1529,None,49.32
229,Foxtrot,46,2557,None,39.49
230,Alpha,17,636,Bronze,22.24
231,Charlie,26,3549,Bronze,89.45
232,Sigma,45,4994,Silver,2.35
233,Alpha,33,4786,Silver,81.13
234,Gamma,38,275,Silver,13.05
235,Bravo,12,4293,Gold,18.5
236,Bravo,14,2377,None,57.84
237,Echo,47,791,Bronze,63.24
238,Alpha,4,3787,None,40.98
239,Gamma,50,4464,Gold,32.03
240,Foxtrot,7,4297,Bronze,88.74
241,Foxtrot,39,2138,Bronze,29.24
242,Bravo,40,4245,Gold,87.87
243,Echo,38,3978,Silver,1.75
244,Sigma,6,4823,None,81.29
245,Foxtrot,28,965,Gold,12.51
246,Bravo,50,262,Platinum,23.98
247,Zeta,17,1966,None,82.72
248,Nova,5,728,Silver,95.06
249,Foxtrot,44,3641,Gold,8.03
250,Zeta,12,3247,Platinum,12.94
251,Foxtrot,3,3148,Silver,64.83
252,Sigma,40,3219,Bronze,94.18
253,Bravo,21,2637,Bronze,37.98
254,Bravo,20,406,Gold,91.44
255,Alpha,18,2182,Gold,84.8
256,Bravo,12,2318,Bronze,70.6
257,Nova,5,1237,Gold,11.48
258,Echo,6,1561,None,19.3
259,Nova,49,2248,Platinum,19.54
260,Foxtrot,1,989,None,8.24
261,Gamma,21,4051,Bronze,30.86
262,Charlie,8,1240,Bronze,19.02
263,Alpha,5,4974,None,73.79
264,Bravo,16,4444,Gold,77.92
265,Delta,49,3478,Bronze,21.15
266,Nova,21,2638,Silver,46.36
267,Echo,39,4542,Bronze,14.66
268,Alpha,18,2886,None,67.92
269,Foxtrot,38,2104,None,49.96
270,Alpha,47,4951,None,53.22
271,Alpha,16,1519,Platinum,17.43
272,Nova,4,3542,None,55.68
273,Charlie,46,4867,Platinum,74.46
274,Sigma,47,2321,Platinum,19.21
275,Zeta,50,4492,Gold,2.24
276,Echo,50,2431,Gold,46.71
277,Foxtrot,6,3364,None,44.35
278,Charlie,13,2732,None,34.18
279,Charlie,14,4323,Bronze,63.19
280,Foxtrot,23,3569,Gold,0.04
281,Echo,23,4384,None,84.08
282,Gamma,11,1583,None,77.25
283,Alpha,20,4622,Silver,39.86
284,Echo,17,2407,Silver,57.75
285,Charlie,25,2548,Bronze,56.91
286,Zeta,17,1018,Platinum,26.0
287,Zeta,36,4059,Silver,51.46
288,Charlie,7,3517,Gold,36.0
289,Delta,44,1660,Gold,13.5
290,Nova,16,3370,Platinum,40.24
291,Charlie,20,1284,None,75.01
292,Bravo,29,4404,None,37.2
293,Foxtrot,50,914,Silver,92.26
294,Zeta,20,3568,Bronze,80.11
295,Delta,40,237,Silver,16.4
296,Zeta,8,3597,Bronze,15.05
297,Foxtrot,40,1465,None,10.07
298,Zeta,33,2845,Platinum,71.96
299,Alpha,18,2020,Platinum,74.96
300,Alpha,16,4750,None,70.33
301,Charlie,12,2441,Gold,48.86
302,Bravo,38,889,Bronze,83.14
303,Zeta,50,1800,Gold,8.2
304,Delta,44,2381,Silver,31.0
305,Gamma,36,3690,Bronze,50.16
306,Alpha,32,1973,Bronze,37.47
307,Zeta,30,4742,Gold,87.27
308,Echo,43,1836,Silver,8.7
309,Bravo,15,3405,Silver,83.08
310,Zeta,14,3514,None,99.21
311,Nova,1,2249,None,56.62
312,Charlie,21,1562,Platinum,38.75
313,Echo,25,1743,Bronze,25.4
314,Sigma,16,2522,Bronze,18.34
315,Alpha,15,3710,Silver,73.96
316,Echo,27,2996,None,83.24
317,Charlie,40,630,Platinum,32.05
318,Nova,50,366,Platinum,57.52
319,Foxtrot,45,1275,None,54.16
320,Alpha,49,257,Platinum,65.47
321,Foxtrot,16,3054,Silver,87.59
322,Charlie,28,2569,Platinum,7.21
323,Alpha,22,4188,Platinum,38.54
324,Nova,37,2440,Bronze,14.01
325,Sigma,48,2726,Silver,61.85
326,Charlie,42,1320,Gold,21.6
327,Alpha,4,678,None,9.12
328,Gamma,44,740,Platinum,83.85
329,Bravo,37,1052,None,71.24
330,Bravo,14,747,None,78.84
331,Delta,6,4905,None,7.71
332,Sigma,26,787,None,36.91
333,Zeta,10,4158,Silver,16.2
334,Delta,26,44,Silver,2.62
335,Bravo,26,3547,None,7.31
336,Foxtrot,24,1490,Bronze,55.95
337,Sigma,9,4431,Bronze,82.92
338,Echo,48,386,Gold,27.32
339,Echo,36,2142,Bronze,53.6
340,Charlie,27,651,Gold,23.59
341,Zeta,46,1692,None,81.82
342,Sigma,35,4476,Bronze,84.24
343,Sigma,25,4856,None,38.11
344,Bravo,7,1226,Bronze,12.74
345,Foxtrot,2,2005,Platinum,20.17
346,Foxtrot,5,2358,Bronze,45.23
347,Zeta,21,21,None,49.55
348,Nova,35,2135,Silver,70.01
349,Sigma,27,4835,Gold,7.24
350,Zeta,28,225,Bronze,17.01
351,Foxtrot,3,2879,Bronze,26.59
352,Gamma,26,1931,Bronze,59.03
353,Delta,14,574,Bronze,49.59
354,Delta,41,3140,None,86.88
355,Sigma,28,1830,Silver,85.12
356,Delta,23,2823,Gold,46.06
357,Foxtrot,42,1248,Bronze,13.3
358,Echo,15,4013,Silver,20.66
359,Bravo,2,430,Bronze,58.39
360,Foxtrot,25,4957,Platinum,77.8
361,Foxtrot,49,3574,Silver,79.33
362,Charlie,20,150,Silver,78.99
363,Bravo,32,4962,Gold,55.37
364,Sigma,11,3836,None,32.73
365,Delta,49,3973,Platinum,27.11
366,Zeta,11,1762,None,51.4
367,Nova,17,594,None,6.99
368,Sigma,15,4151,None,58.15
369,Zeta,18,3768,Bronze,46.48
370,Delta,18,4703,Platinum,24.42
371,Foxtrot,13,1562,Silver,19.34
372,Gamma,32,2656,Silver,11.12
373,Zeta,6,1776,Gold,67.6
374,Charlie,11,671,Silver,49.28
375,Nova,17,983,Silver,48.38
376,Alpha,38,2127,Gold,60.76
377,Foxtrot,28,1791,Bronze,81.96
378,Gamma,42,2366,None,98.91
379,Echo,39,1403,Gold,1.04
380,Charlie,21,2789,Gold,7.76
381,Gamma,35,3196,None,27.33
382,Sigma,6,1755,None,21.92
383,Charlie,32,4240,Platinum,12.16
384,Gamma,28,287,None,15.77
385,Nova,22,4931,None,81.8
386,Sigma,17,4759,Gold,34.22
387,Charlie,40,1566,Silver,30.37
388,Nova,24,2812,Silver,27.45
389,Charlie,30,1942,Platinum,28.18
390,Delta,30,752,None,48.82
391,Sigma,25,2974,Platinum,47.66
392,Bravo,21,4562,Platinum,28.35
393,Nova,33,3232,Silver,36.45
394,Bravo,38,3969,Bronze,92.55
395,Charlie,17,1468,Platinum,5.4
396,Zeta,22,4720,Silver,19.2
397,Zeta,40,2254,Gold,88.8
398,Bravo,49,4270,Bronze,98.57
399,Nova,19,2491,Silver,99.04
400,Foxtrot,43,479,Silver,66.99
401,Sigma,19,296,Platinum,71.05
402,Delta,36,1718,Bronze,17.63
403,Zeta,3,1979,None,33.82
404,Bravo,19,2595,None,55.87
405,Delta,11,4519,Platinum,55.66
406,Sigma,21,2373,Silver,25.03
407,Charlie,39,1358,Gold,62.98
408,Foxtrot,35,2627,Platinum,94.11
409,Alpha,4,458,Silver,76.43
410,Sigma,23,1921,Gold,79.0
411,Alpha,27,1669,Silver,70.53
412,Sigma,1,1444,Silver,26.83
413,Alpha,6,3163,Gold,0.01
414,Nova,31,2707,Gold,70.65
415,Foxtrot,29,3517,Platinum,8.86
416,Charlie,41,3958,Gold,61.71
417,Nova,25,2346,Silver,88.78
418,Echo,19,4620,Bronze,9.14
419,Bravo,14,2319,Gold,13.07
420,Bravo,9,2910,Silver,70.16
421,Charlie,43,2575,Platinum,14.8
422,Bravo,26,1758,Platinum,13.58
423,Nova,30,3314,Platinum,41.09
424,Alpha,48,458,Gold,63.48
425,Sigma,25,4671,Silver,11.1
426,Delta,13,4976,Bronze,24.41
427,Alpha,17,3423,Silver,34.86
428,Delta,50,2791,Platinum,0.46
429,Zeta,4,2771,Platinum,1.86
430,Nova,1,4630,Bronze,40.94
431,Foxtrot,2,1490,Gold,24.32
432,Nova,10,3109,Platinum,87.96
433,Alpha,2,3914,Platinum,75.69
434,Echo,17,1409,None,19.63
435,Alpha,24,2005,Bronze,24.07
436,Bravo,5,4145,Platinum,91.08
437,Gamma,40,378,None,78.38
438,Alpha,21,1567,None,16.92
439,Bravo,4,1544,Gold,62.68
440,Charlie,2,896,Silver,4.76
441,Foxtrot,26,2868,Bronze,77.44
442,Nova,47,3990,Platinum,48.11
443,Echo,4,2076,Bronze,66.38
444,Charlie,19,2271,Bronze,53.97
445,Echo,2,1623,Platinum,70.26
446,Charlie,1,2434,Platinum,15.35
447,Nova,37,3573,Bronze,72.22
448,Echo,7,625,Silver,93.5
449,Charlie,14,3615,Silver,74.2
450,Delta,12,2525,None,88.85
451,Charlie,2,347,Gold,59.58
452,Gamma,9,1259,None,63.69
453,Sigma,3,2962,None,43.22
454,Bravo,35,1139,Silver,30.43
455,Zeta,44,4777,Gold,19.96
456,Charlie,31,1687,Silver,69.18
457,Sigma,26,3151,Bronze,73.67
458,Echo,9,2707,None,46.33
459,Foxtrot,6,1089,Platinum,95.0
460,Gamma,2,893,None,75.54
461,Charlie,25,4679,Silver,86.87
462,Gamma,45,1244,Silver,21.85
463,Gamma,20,4092,Gold,47.1
464,Sigma,30,2220,Platinum,71.27
465,Zeta,21,794,Bronze,9.92
466,Gamma,41,1158,Bronze,4.05
467,Sigma,22,3126,None,26.92
468,Gamma,15,1601,Platinum,35.99
469,Foxtrot,24,3834,Gold,3.89
470,Foxtrot,33,3894,Gold,70.0
471,Sigma,39,1232,Gold,49.26
472,Gamma,22,3690,None,27.22
473,Delta,31,1660,Silver,53.64
474,Foxtrot,12,2778,None,67.2
475,Sigma,40,2455,Platinum,54.6
476,Alpha,40,4302,Platinum,36.81
477,Charlie,28,1857,Gold,99.45
478,Foxtrot,3,1764,None,92.48
479,Nova,21,4959,Bronze,81.4
480,Sigma,21,367,Gold,71.09
481,Sigma,8,1856,Gold,57.38
482,Charlie,16,4118,Silver,37.97
483,Charlie,18,3201,Bronze,54.31
484,Charlie,7,1435,None,67.78
485,Bravo,48,2387,Gold,6.86
486,Bravo,48,3034,Gold,49.01
487,Sigma,10,1847,Platinum,30.1
488,Echo,50,4911,Gold,59.07
489,Zeta,27,2615,Gold,79.37
490,Alpha,18,4989,Platinum,95.54
491,Charlie,29,2950,Platinum,28.41
492,Foxtrot,48,917,Gold,22.2
493,Nova,50,2945,Silver,41.4
494,Foxtrot,20,2937,Bronze,87.72
495,Foxtrot,23,407,Bronze,72.81
496,Gamma,29,4289,Bronze,15.73
497,Charlie,40,4364,None,21.85
498,Zeta,27,4678,Silver,84.24
499,Charlie,34,1909,Platinum,80.24
500,Foxtrot,47,2444,Gold,74.11
501,Gamma,1,3247,Bronze,61.46
502,Alpha,49,2464,Gold,4.24
503,Alpha,9,2191,Gold,64.05
504,Bravo,3,1667,Gold,56.52
505,Charlie,26,2302,None,72.09
506,Delta,11,373,Platinum,61.88
507,Sigma,25,480,None,39.06
508,Bravo,16,3530,Platinum,79.74
509,Foxtrot,33,99,Silver,29.76
510,Bravo,46,1365,None,12.12
511,Bravo,15,4884,Gold,30.97
512,Delta,45,969,Platinum,5.47
513,Echo,42,3530,Platinum,86.55
514,Bravo,25,2676,Gold,22.78
515,Echo,22,4603,Gold,18.68
516,Sigma,50,4558,Silver,67.56
517,Alpha,33,1996,Bronze,33.07
518,Echo,4,2754,None,39.09
519,Sigma,1,2767,Gold,83.84
520,Sigma,48,2473,Silver,82.31
521,Nova,26,1186,None,87.81
522,Charlie,23,2286,Platinum,75.45
523,Alpha,13,1749,Gold,99.09
524,Gamma,1,2594,None,94.14
525,Charlie,42,830,Platinum,56.23
526,Foxtrot,8,216,Silver,41.87
527,Sigma,22,1004,None,75.27
528,Bravo,13,2329,Platinum,11.11
529,Charlie,11,4897,None,42.79
530,Gamma,38,1202,Silver,28.76
531,Sigma,14,2404,Platinum,29.78
532,Sigma,38,4229,None,8.25
533,Nova,12,1926,None,13.32
534,Bravo,42,1071,Bronze,49.36
535,Nova,42,1891,Gold,55.27
536,Gamma,22,1506,Gold,7.54
537,Charlie,33,4639,Silver,9.67
538,Alpha,7,2655,Bronze,79.9
539,Nova,2,2987,Platinum,11.69
540,Charlie,6,4407,Silver,82.97
541,Delta,4,4757,Platinum,3.09
542,Alpha,4,2404,Silver,40.85
543,Echo,31,4033,Bronze,59.4
544,Gamma,50,421,Bronze,8.86
545,Nova,30,4373,Gold,77.37
546,Charlie,40,2766,None,94.14
547,Sigma,16,3112,Platinum,10.01
548,Foxtrot,34,4601,None,40.38
549,Zeta,11,2158,None,15.78
550,Charlie,22,2210,Bronze,34.4
551,Echo,25,4979,None,71.71
552,Charlie,40,2546,Bronze,92.14
553,Echo,50,4408,Gold,8.0
554,Zeta,20,4135,Bronze,91.69
555,Charlie,19,3130,Gold,89.86
556,Bravo,30,857,Gold,51.92
557,Nova,12,4377,Gold,40.87
558,Delta,36,3777,Gold,37.09
559,Charlie,12,4076,Platinum,27.95
560,Gamma,28,1551,None,8.51
561,Delta,50,3794,Bronze,44.42
562,Zeta,1,914,Platinum,30.94
563,Charlie,46,3688,None,80.75
564,Zeta,10,1127,Bronze,9.05
565,Foxtrot,2,4269,None,71.67
566,Alpha,6,1236,Silver,6.26
567,Gamma,43,4917,Silver,33.31
568,Sigma,2,1827,Silver,12.96
569,Gamma,9,4213,Silver,20.47
570,Foxtrot,47,4793,Bronze,47.15
571,Bravo,33,4201,Platinum,43.26
572,Bravo,13,907,Silver,12.43
573,Zeta,16,4777,Bronze,44.83
574,Charlie,11,1234,Gold,56.53
575,Delta,21,1810,Bronze,44.66
576,Sigma,42,1940,Silver,84.51
577,Zeta,25,31,Gold,90.49
578,Gamma,25,1025,None,15.62
579,Sigma,32,1762,None,20.86
580,Alpha,33,4591,Platinum,74.05
581,Alpha,19,973,Bronze,94.79
582,Nova,33,4238,Platinum,89.47
583,Bravo,48,1194,Silver,85.54
584,Delta,43,3377,Gold,73.42
585,Delta,29,214,None,57.3
586,Delta,35,3145,Gold,30.39
587,Bravo,44,682,Bronze,80.02
588,Echo,16,2666,None,38.73
589,Echo,45,932,Platinum,71.01
590,Alpha,22,4767,Silver,29.55
591,Zeta,28,3681,Bronze,7.5
592,Foxtrot,45,217,None,25.56
593,Gamma,44,2371,Gold,23.41
594,Nova,32,4687,Bronze,35.68
595,Delta,21,409,Silver,79.43
596,Nova,9,1797,Platinum,88.55
597,Delta,29,264,Silver,74.42
598,Echo,7,3783,Silver,58.84
599,Echo,28,613,Gold,46.33
600,Gamma,43,273,Bronze,20.78
601,Zeta,21,2225,Bronze,69.79
602,Nova,7,4009,Gold,93.39
603,Gamma,40,4915,None,94.57
604,Zeta,41,3351,Platinum,30.51
605,Sigma,17,3501,Bronze,0.66
606,Zeta,19,923,Platinum,97.35
607,Delta,29,329,None,63.44
608,Bravo,5,4914,None,90.05
609,Nova,49,2208,Silver,59.36
610,Foxtrot,22,4634,Gold,89.14
611,Bravo,12,2866,None,55.65
612,Charlie,22,4442,Gold,96.26
613,Gamma,3,3898,None,55.23
614,Alpha,18,701,Gold,23.93
615,Bravo,42,1093,None,70.14
616,Echo,32,2715,Silver,31.43
617,Sigma,34,3927,Platinum,91.2
618,Bravo,21,2747,Platinum,52.56
619,Bravo,10,3873,Platinum,79.7
620,Gamma,17,3172,None,17.25
621,Delta,37,534,Gold,96.72
622,Nova,45,2219,Platinum,37.13
623,Echo,15,3908,Platinum,39.3
624,Charlie,38,4358,Bronze,17.41
625,Nova,33,2432,Silver,25.7
626,Gamma,3,3387,Bronze,78.58
627,Sigma,11,2285,Bronze,79.76
628,Bravo,16,3088,None,1.36
629,Charlie,50,2724,Gold,3.79
630,Nova,32,2551,Bronze,21.4
631,Bravo,5,4541,Platinum,60.91
632,Nova,10,4676,Bronze,8.03
633,Charlie,40,1614,None,56.17
634,Delta,39,3907,Gold,19.28
635,Bravo,7,322,Platinum,57.06
636,Sigma,39,2074,Bronze,69.79
637,Sigma,20,2838,Silver,1.27
638,Delta,3,4096,Bronze,28.82
639,Delta,5,1140,Platinum,10.4
640,Foxtrot,30,4881,None,96.31
641,Alpha,34,1164,Gold,42.9
642,Gamma,31,3393,Bronze,23.8
643,Charlie,4,3207,None,61.42
644,Sigma,50,2182,Bronze,3.93
645,Bravo,39,1152,Gold,67.24
646,Charlie,29,4072,Platinum,59.21
647,Bravo,39,346,Silver,54.24
648,Echo,13,2908,None,72.22
649,Gamma,46,4750,Gold,3.3
650,Delta,6,3679,Silver,42.07
651,Echo,24,2385,Silver,23.46
652,Foxtrot,35,1965,Silver,5.37
653,Gamma,17,2754,Silver,26.86
654,Echo,18,1590,Platinum,41.66
655,Delta,32,297,None,62.65
656,Bravo,22,2056,Platinum,11.98
657,Delta,2,4308,Platinum,28.58
658,Nova,22,3187,Silver,10.07
659,Sigma,43,2770,Platinum,65.6
660,Echo,1,3013,Bronze,8.25
661,Foxtrot,40,3719,Platinum,57.65
662,Zeta,50,1488,Gold,68.74
663,Delta,4,1884,None,81.08
664,Zeta,40,723,None,15.45
665,Delta,25,1797,Bronze,28.03
666,Foxtrot,47,3349,None,37.0
667,Zeta,34,828,None,65.51
668,Nova,48,1814,Silver,88.92
669,Gamma,29,2526,Platinum,6.48
670,Zeta,32,1999,Silver,86.51
671,Alpha,30,3648,Silver,12.61
672,Gamma,47,459,Bronze,76.91
673,Alpha,43,2759,None,90.69
674,Charlie,1,1785,Gold,43.95
675,Bravo,25,617,None,37.55
676,Gamma,26,2001,Platinum,73.22
677,Sigma,42,2040,Silver,55.07
678,Bravo,40,4504,Silver,79.04
679,Charlie,35,1676,Silver,34.06
680,Foxtrot,50,329,Platinum,17.9
681,Bravo,10,2964,Bronze,35.48
682,Zeta,1,3229,Bronze,98.59
683,Charlie,2,4776,Bronze,57.63
684,Foxtrot,47,4577,Silver,99.81
685,Bravo,40,1342,None,39.1
686,Zeta,3,1717,Gold,60.24
687,Echo,1,4346,Gold,86.29
688,Charlie,11,3913,Gold,24.06
689,Alpha,5,3288,Platinum,36.84
690,Gamma,24,1373,None,31.11
691,Gamma,11,2118,Gold,17.17
692,Delta,40,2258,Silver,65.62
693,Delta,9,1656,None,33.87
694,Alpha,18,2650,Gold,30.37
695,Charlie,25,1580,Gold,8.0
696,Echo,28,4790,Bronze,21.2
697,Alpha,39,1159,Silver,43.17
698,Bravo,34,3146,Gold,23.5
699,Alpha,15,4443,None,14.32
700,Sigma,21,2978,Platinum,13.16
701,Charlie,29,2087,Platinum,40.69
702,Zeta,22,1315,None,60.14
703,Bravo,27,3637,Platinum,8.97
704,Zeta,50,1299,Gold,67.62
705,Charlie,42,4600,Silver,19.18
706,Charlie,46,648,Gold,82.05
707,Echo,20,195,None,39.81
708,Foxtrot,25,509,Platinum,50.82
